Loop,Time,r0-A,p0-C0,p1-C0,p0-Cpa,p1-Cpa,r0-E,r0-Hp,p0-K,p1-K,Value,r0-Xi,p0-eps,p1-eps,p0-ka,p1-ka,r0-n,r0-nO2,p0-rho,p1-rho,
-1,0,2.41e+12,1.0,0.0,1390.9919540371377,1050.1824346020064,1.72e+05,97420.78018941655,38994.49433805056,100000000.0,2.2812616259952863e-05,0.7338086749851456,0.7430652962086045,0.6812249399072388,0.3094187971585518,0.19060031235785707,1.0690889089118198,0.0,1683.0,1235.0,
0,13.6810,2.41e+12,1.0,0.0,1390.9919540371377,1050.1824346020064,1.72e+05,97420.78018941655,38994.49433805056,100000000.0,2.2812616259952863e-05,0.7338086749851456,0.7430652962086045,0.6812249399072388,0.3094187971585518,0.19060031235785707,1.0690889089118198,0.0,1683.0,1235.0,
1,27.2787,2.38e+12,1.0,0.0,1474.5977400373374,1090.5302848891556,1.70e+05,101096.50954340704,25776.686866612778,100000000.0,1.3064238378421236e-05,0.7338086749851456,0.7607578592540123,0.6810988004693542,0.30596370820208924,0.19785847494717623,0.9979606126444809,0.0,1683.0,1235.0,
2,41.5682,2.38e+12,1.0,0.0,1474.5977400373374,1090.5302848891556,1.70e+05,101096.50954340704,25776.686866612778,100000000.0,1.3064238378421236e-05,0.7338086749851456,0.7607578592540123,0.6810988004693542,0.30596370820208924,0.19785847494717623,0.9979606126444809,0.0,1683.0,1235.0,
3,56.2645,2.38e+12,1.0,0.0,1474.5977400373374,1090.5302848891556,1.70e+05,101096.50954340704,25776.686866612778,100000000.0,1.3064238378421236e-05,0.7338086749851456,0.7607578592540123,0.6810988004693542,0.30596370820208924,0.19785847494717623,0.9979606126444809,0.0,1683.0,1235.0,
4,70.5528,2.47e+12,1.0,0.0,1504.9646618028023,1075.8175829642846,1.71e+05,104263.45096028538,19052.928478835383,100000000.0,1.1657003758226683e-05,0.7338086749851456,0.7835177752809801,0.7275444053952773,0.3042017309787253,0.19762685071283245,0.9922965824494286,0.0,1683.0,1235.0,
5,85.3594,2.39e+12,1.0,0.0,1446.5258663969694,1068.6815397729154,1.71e+05,99159.98665407229,30440.54118267318,100000000.0,1.1204339179004349e-05,0.7338086749851456,0.7646072255857481,0.7021579013126842,0.30785058604102933,0.19320108679047435,1.035619909098914,0.0,1683.0,1235.0,
6,100.8647,2.43e+12,1.0,0.0,1493.0787640209119,1077.4743579398191,1.71e+05,102258.47814705395,21746.90214468896,100000000.0,5.625932401983769e-06,0.7338086749851456,0.7750762049256661,0.7176517029384617,0.30468346553974596,0.19626527838771052,1.0022953321891312,0.0,1683.0,1235.0,
7,115.9707,2.43e+12,1.0,0.0,1493.0787640209119,1077.4743579398191,1.71e+05,102258.47814705395,21746.90214468896,100000000.0,5.625932401983769e-06,0.7338086749851456,0.7750762049256661,0.7176517029384617,0.30468346553974596,0.19626527838771052,1.0022953321891312,0.0,1683.0,1235.0,
8,131.6670,2.37e+12,1.0,0.0,1478.0256393662767,1078.7683875897435,1.71e+05,100041.66515644392,23604.50485334984,100000000.0,5.02304812231925e-06,0.7338086749851456,0.7693051653153106,0.7059015985617061,0.3056907471127154,0.19481280884625168,1.0099022389865282,0.0,1683.0,1235.0,
9,146.6699,2.39e+12,1.0,0.0,1484.2617320683369,1078.893029572751,1.71e+05,100373.02306871004,23072.286188928985,100000000.0,4.511010058176344e-06,0.7338086749851456,0.7781929053570492,0.7125560915198654,0.30545402684104467,0.19608341977472343,1.0032923158888414,0.0,1683.0,1235.0,
10,176.5146,2.39e+12,1.0,0.0,1484.2617320683369,1078.893029572751,1.71e+05,100373.02306871004,23072.286188928985,100000000.0,4.511010058176344e-06,0.7338086749851456,0.7781929053570492,0.7125560915198654,0.30545402684104467,0.19608341977472343,1.0032923158888414,0.0,1683.0,1235.0,
11,210.5946,2.37e+12,1.0,0.0,1475.6923967618068,1081.8214692211504,1.71e+05,99571.12702679657,22585.52315635456,100000000.0,4.327912471632606e-06,0.7338086749851456,0.7744137705873834,0.7062764678359692,0.3050562183647553,0.19613903202263572,1.0026344573910215,0.0,1683.0,1235.0,
12,239.3116,2.37e+12,1.0,0.0,1475.6923967618068,1081.8214692211504,1.71e+05,99571.12702679657,22585.52315635456,100000000.0,4.327912471632606e-06,0.7338086749851456,0.7744137705873834,0.7062764678359692,0.3050562183647553,0.19613903202263572,1.0026344573910215,0.0,1683.0,1235.0,
13,270.0356,2.34e+12,1.0,0.0,1472.302490227641,1086.6933014130818,1.71e+05,98509.65371855395,23392.862563684208,100000000.0,3.9610383348372855e-06,0.7338086749851456,0.7745029495610294,0.705154222916879,0.3056105594892937,0.19597376979865205,1.003854279932268,0.0,1683.0,1235.0,
14,300.7605,2.34e+12,1.0,0.0,1472.302490227641,1086.6933014130818,1.71e+05,98509.65371855395,23392.862563684208,100000000.0,3.9610383348372855e-06,0.7338086749851456,0.7745029495610294,0.705154222916879,0.3056105594892937,0.19597376979865205,1.003854279932268,0.0,1683.0,1235.0,
15,332.7867,2.34e+12,1.0,0.0,1472.302490227641,1086.6933014130818,1.71e+05,98509.65371855395,23392.862563684208,100000000.0,3.9610383348372855e-06,0.7338086749851456,0.7745029495610294,0.705154222916879,0.3056105594892937,0.19597376979865205,1.003854279932268,0.0,1683.0,1235.0,
16,364.3304,2.32e+12,1.0,0.0,1473.9244924125392,1094.735008506565,1.71e+05,98258.60861417273,22138.29561933755,100000000.0,3.7361565188573608e-06,0.7338086749851456,0.7751733344512352,0.708937568766131,0.30414585006074674,0.1954605579016893,1.002525134777553,0.0,1683.0,1235.0,
17,395.4648,2.33e+12,1.0,0.0,1472.3724706261705,1091.0503687912842,1.71e+05,98539.19746201913,22683.856829780307,100000000.0,3.6045490749699233e-06,0.7338086749851456,0.773919171142488,0.7059782264725722,0.30392784367840353,0.1958709251526416,1.0054862509787743,0.0,1683.0,1235.0,
18,426.6101,2.30e+12,1.0,0.0,1467.707169233459,1096.8871998428126,1.71e+05,97646.36127060893,20856.887292791478,100000000.0,3.467214966629903e-06,0.7338086749851456,0.7732257844140398,0.7060512958900516,0.3024739960303486,0.19476122866518508,0.9999708550410773,0.0,1683.0,1235.0,
19,456.9428,2.29e+12,1.0,0.0,1468.2539831017552,1107.536157792591,1.71e+05,97177.45629838284,20728.979007237424,100000000.0,3.3708490491392204e-06,0.7338086749851456,0.7770699070327779,0.7170662667006715,0.2990479761858546,0.1943797080276352,1.0073451313142434,0.0,1683.0,1235.0,
20,488.5215,2.29e+12,1.0,0.0,1468.2539831017552,1107.536157792591,1.71e+05,97177.45629838284,20728.979007237424,100000000.0,3.3708490491392204e-06,0.7338086749851456,0.7770699070327779,0.7170662667006715,0.2990479761858546,0.1943797080276352,1.0073451313142434,0.0,1683.0,1235.0,
21,520.4866,2.29e+12,1.0,0.0,1467.4446574480385,1103.2387476030453,1.71e+05,97213.60215958586,21354.265013332744,100000000.0,3.1425291093206473e-06,0.7338086749851456,0.7751502976868735,0.7122696680120925,0.29975536597675034,0.19431112355655913,1.0075000545397734,0.0,1683.0,1235.0,
22,554.1673,2.28e+12,1.0,0.0,1466.386893814868,1111.3160853716408,1.72e+05,96605.27419441893,20519.089630370312,100000000.0,2.4372702871250126e-06,0.7338086749851456,0.784601263898517,0.7225201334808525,0.29983896261424625,0.19548873295747043,1.0206450740548911,0.0,1683.0,1235.0,
23,585.3127,2.28e+12,1.0,0.0,1466.386893814868,1111.3160853716408,1.72e+05,96605.27419441893,20519.089630370312,100000000.0,2.4372702871250126e-06,0.7338086749851456,0.784601263898517,0.7225201334808525,0.29983896261424625,0.19548873295747043,1.0206450740548911,0.0,1683.0,1235.0,
24,617.2588,2.30e+12,1.0,0.0,1468.022932755899,1109.036075581184,1.71e+05,97253.62563293651,21368.843466787876,100000000.0,2.398659166874183e-06,0.7338086749851456,0.7800320648433329,0.7171646741924884,0.3003674316850718,0.19542120595443185,1.0190634324534895,0.0,1683.0,1235.0,
25,648.0328,2.24e+12,1.0,0.0,1450.1332201876387,1103.9250089773977,1.72e+05,94478.15939225175,20373.01343721195,100000000.0,1.7499643854147353e-06,0.7338086749851456,0.7804236005054057,0.7051594865029354,0.29914508558052794,0.1988398433761907,1.0352133202078093,0.0,1683.0,1235.0,
