Loop,Time,r0-A,p0-C0,p1-C0,p0-Cpa,p1-Cpa,r0-E,r0-Hp,p0-K,p1-K,Value,r0-Xi,p0-eps,p1-eps,p0-ka,p1-ka,r0-n,r0-nO2,p0-rho,p1-rho,
-1,0,2.30e+12,1.0,0.0,1500.0,1100.0,1.83e+05,94951.60559298084,10000.0,100000000.0,0.00011714927954036008,0.7338086749851456,0.934878618048184,0.9631356367253762,0.3,0.2,1.0616614457334366,0.0,1683.0,1235.0,
0,29.1073,2.25e+12,1.0,0.0,1500.0,1100.0,1.69e+05,98776.65702889144,10000.0,100000000.0,5.6714681467730905e-05,0.7338086749851456,0.8012656498498069,0.6737666205183211,0.3,0.2,1.0211509139428134,0.0,1683.0,1235.0,
1,58.3339,2.37e+12,1.0,0.0,1500.0,1100.0,1.69e+05,97821.8754971931,10000.0,100000000.0,2.184300921118941e-05,0.7338086749851456,0.7524335424803804,0.7020765703636199,0.3,0.2,0.9896192736517279,0.0,1683.0,1235.0,
2,85.0453,2.37e+12,1.0,0.0,1500.0,1100.0,1.69e+05,97821.8754971931,10000.0,100000000.0,2.184300921118941e-05,0.7338086749851456,0.7524335424803804,0.7020765703636199,0.3,0.2,0.9896192736517279,0.0,1683.0,1235.0,
3,114.6652,2.29e+12,1.0,0.0,1500.0,1100.0,1.72e+05,99261.15779160318,10000.0,100000000.0,1.1348416732630165e-05,0.7338086749851456,0.8072521982115219,0.7466919134174809,0.3,0.2,0.9747265460292371,0.0,1683.0,1235.0,
4,146.2920,2.29e+12,1.0,0.0,1500.0,1100.0,1.72e+05,99261.15779160318,10000.0,100000000.0,1.1348416732630165e-05,0.7338086749851456,0.8072521982115219,0.7466919134174809,0.3,0.2,0.9747265460292371,0.0,1683.0,1235.0,
5,176.2163,2.29e+12,1.0,0.0,1500.0,1100.0,1.72e+05,99261.15779160318,10000.0,100000000.0,1.1348416732630165e-05,0.7338086749851456,0.8072521982115219,0.7466919134174809,0.3,0.2,0.9747265460292371,0.0,1683.0,1235.0,
6,206.9313,2.29e+12,1.0,0.0,1500.0,1100.0,1.72e+05,99261.15779160318,10000.0,100000000.0,1.1348416732630165e-05,0.7338086749851456,0.8072521982115219,0.7466919134174809,0.3,0.2,0.9747265460292371,0.0,1683.0,1235.0,
7,238.8493,2.25e+12,1.0,0.0,1500.0,1100.0,1.74e+05,97995.17425607672,10000.0,100000000.0,1.1085593006800428e-05,0.7338086749851456,0.8290540340630724,0.766996008697813,0.3,0.2,0.9566310319370355,0.0,1683.0,1235.0,
8,270.3140,2.25e+12,1.0,0.0,1500.0,1100.0,1.74e+05,97995.17425607672,10000.0,100000000.0,1.1085593006800428e-05,0.7338086749851456,0.8290540340630724,0.766996008697813,0.3,0.2,0.9566310319370355,0.0,1683.0,1235.0,
9,303.1479,2.28e+12,1.0,0.0,1500.0,1100.0,1.73e+05,98692.95149837734,10000.0,100000000.0,1.0525356409281775e-05,0.7338086749851456,0.8245941041846364,0.7529828243200294,0.3,0.2,0.975736332787057,0.0,1683.0,1235.0,
10,334.9949,2.29e+12,1.0,0.0,1500.0,1100.0,1.72e+05,101775.10393880765,10000.0,100000000.0,6.86132402432904e-06,0.7338086749851456,0.8063167407184413,0.7585179657654026,0.3,0.2,0.9973741600450693,0.0,1683.0,1235.0,
11,365.8270,2.35e+12,1.0,0.0,1500.0,1100.0,1.72e+05,100132.12028151695,10000.0,100000000.0,5.6176142885632e-06,0.7338086749851456,0.80421995958801,0.7549419334440405,0.3,0.2,1.0300963102442784,0.0,1683.0,1235.0,
12,397.9602,2.42e+12,1.0,0.0,1500.0,1100.0,1.71e+05,101756.67864935544,10000.0,100000000.0,3.865046146943876e-06,0.7338086749851456,0.7802957578908376,0.7389100800292622,0.3,0.2,1.0996442485041562,0.0,1683.0,1235.0,
13,428.6202,2.42e+12,1.0,0.0,1500.0,1100.0,1.71e+05,101756.67864935544,10000.0,100000000.0,3.865046146943876e-06,0.7338086749851456,0.7802957578908376,0.7389100800292622,0.3,0.2,1.0996442485041562,0.0,1683.0,1235.0,
14,459.8305,2.30e+12,1.0,0.0,1500.0,1100.0,1.72e+05,104799.14120553038,10000.0,100000000.0,3.563513037362144e-06,0.7338086749851456,0.7949703695237365,0.7751295221859192,0.3,0.2,1.0595946396062597,0.0,1683.0,1235.0,
15,490.2492,2.30e+12,1.0,0.0,1500.0,1100.0,1.72e+05,104799.14120553038,10000.0,100000000.0,3.563513037362144e-06,0.7338086749851456,0.7949703695237365,0.7751295221859192,0.3,0.2,1.0595946396062597,0.0,1683.0,1235.0,
16,518.5530,2.37e+12,1.0,0.0,1500.0,1100.0,1.72e+05,101573.16553079644,10000.0,100000000.0,3.028656893112677e-06,0.7338086749851456,0.795039246018818,0.7609284900611495,0.3,0.2,1.0749831183568974,0.0,1683.0,1235.0,
17,549.0848,2.36e+12,1.0,0.0,1500.0,1100.0,1.74e+05,101702.76544532034,10000.0,100000000.0,1.8779584809972578e-06,0.7338086749851456,0.8261432494965107,0.7937933805715743,0.3,0.2,1.0581135816539895,0.0,1683.0,1235.0,
18,581.5234,2.36e+12,1.0,0.0,1500.0,1100.0,1.74e+05,101702.76544532034,10000.0,100000000.0,1.8779584809972578e-06,0.7338086749851456,0.8261432494965107,0.7937933805715743,0.3,0.2,1.0581135816539895,0.0,1683.0,1235.0,
19,614.1411,2.36e+12,1.0,0.0,1500.0,1100.0,1.74e+05,101702.76544532034,10000.0,100000000.0,1.8779584809972578e-06,0.7338086749851456,0.8261432494965107,0.7937933805715743,0.3,0.2,1.0581135816539895,0.0,1683.0,1235.0,
20,644.8642,2.42e+12,1.0,0.0,1500.0,1100.0,1.74e+05,101401.32276623728,10000.0,100000000.0,1.7175669046593953e-06,0.7338086749851456,0.8266814246414524,0.7977051460764977,0.3,0.2,1.0713006310899134,0.0,1683.0,1235.0,
21,678.1044,2.39e+12,1.0,0.0,1500.0,1100.0,1.74e+05,101507.6665582594,10000.0,100000000.0,1.5222662488357416e-06,0.7338086749851456,0.8213238229328723,0.7896043823394008,0.3,0.2,1.0690645234927052,0.0,1683.0,1235.0,
22,709.6451,2.40e+12,1.0,0.0,1500.0,1100.0,1.74e+05,101374.02461899703,10000.0,100000000.0,9.467865987143458e-07,0.7338086749851456,0.823238416278403,0.7935093695659705,0.3,0.2,1.082015648629136,0.0,1683.0,1235.0,
23,742.7743,2.40e+12,1.0,0.0,1500.0,1100.0,1.74e+05,101374.02461899703,10000.0,100000000.0,9.467865987143458e-07,0.7338086749851456,0.823238416278403,0.7935093695659705,0.3,0.2,1.082015648629136,0.0,1683.0,1235.0,
24,775.6192,2.40e+12,1.0,0.0,1500.0,1100.0,1.74e+05,101374.02461899703,10000.0,100000000.0,9.467865987143458e-07,0.7338086749851456,0.823238416278403,0.7935093695659705,0.3,0.2,1.082015648629136,0.0,1683.0,1235.0,
