Loop,Time,r0-A,p0-C0,p1-C0,p0-Cpa,p1-Cpa,r0-E,r0-Hp,p0-K,p1-K,Value,r0-Xi,p0-eps,p1-eps,p0-ka,p1-ka,r0-n,r0-nO2,p0-rho,p1-rho,
-1,0,2.30e+12,1.0,0.0,1451.8818348031477,1502.9482448213757,1.65e+05,389399.76394471654,5824.869123278278,100000000.0,7.020044697389146e-05,0.7338086749851456,0.6769806268868591,0.9599863695011291,0.940715257427922,0.5751401814343311,0.9523941173224999,0.0,1683.0,1235.0,
0,43.8458,2.30e+12,1.0,0.0,1451.8818348031477,1502.9482448213757,1.65e+05,389399.76394471654,5824.869123278278,100000000.0,7.020044697389146e-05,0.7338086749851456,0.6769806268868591,0.9599863695011291,0.940715257427922,0.5751401814343311,0.9523941173224999,0.0,1683.0,1235.0,
1,85.7940,2.30e+12,1.0,0.0,1451.8818348031477,1502.9482448213757,1.65e+05,389399.76394471654,5824.869123278278,100000000.0,7.020044697389146e-05,0.7338086749851456,0.6769806268868591,0.9599863695011291,0.940715257427922,0.5751401814343311,0.9523941173224999,0.0,1683.0,1235.0,
2,126.8971,2.30e+12,1.0,0.0,1451.8818348031477,1502.9482448213757,1.65e+05,389399.76394471654,5824.869123278278,100000000.0,7.020044697389146e-05,0.7338086749851456,0.6769806268868591,0.9599863695011291,0.940715257427922,0.5751401814343311,0.9523941173224999,0.0,1683.0,1235.0,
3,170.8031,2.30e+12,1.0,0.0,1451.8818348031477,1502.9482448213757,1.65e+05,389399.76394471654,5824.869123278278,100000000.0,7.020044697389146e-05,0.7338086749851456,0.6769806268868591,0.9599863695011291,0.940715257427922,0.5751401814343311,0.9523941173224999,0.0,1683.0,1235.0,
4,216.9782,2.30e+12,1.0,0.0,1451.8818348031477,1502.9482448213757,1.65e+05,389399.76394471654,5824.869123278278,100000000.0,7.020044697389146e-05,0.7338086749851456,0.6769806268868591,0.9599863695011291,0.940715257427922,0.5751401814343311,0.9523941173224999,0.0,1683.0,1235.0,
5,257.9725,2.30e+12,1.0,0.0,1451.8818348031477,1502.9482448213757,1.65e+05,389399.76394471654,5824.869123278278,100000000.0,7.020044697389146e-05,0.7338086749851456,0.6769806268868591,0.9599863695011291,0.940715257427922,0.5751401814343311,0.9523941173224999,0.0,1683.0,1235.0,
6,307.0762,2.18e+12,1.0,0.0,1547.7400441115128,2211.2702900600434,1.73e+05,122414.27632669767,27177.00894952327,100000000.0,6.590580334251542e-05,0.7338086749851456,0.8592343867838673,0.753022678655754,0.3545168817864257,0.28398145827923116,1.0034867699241223,0.0,1683.0,1235.0,
7,354.5094,2.18e+12,1.0,0.0,1547.7400441115128,2211.2702900600434,1.73e+05,122414.27632669767,27177.00894952327,100000000.0,6.590580334251542e-05,0.7338086749851456,0.8592343867838673,0.753022678655754,0.3545168817864257,0.28398145827923116,1.0034867699241223,0.0,1683.0,1235.0,
8,395.2785,2.18e+12,1.0,0.0,1547.7400441115128,2211.2702900600434,1.73e+05,122414.27632669767,27177.00894952327,100000000.0,6.590580334251542e-05,0.7338086749851456,0.8592343867838673,0.753022678655754,0.3545168817864257,0.28398145827923116,1.0034867699241223,0.0,1683.0,1235.0,
9,445.1198,2.18e+12,1.0,0.0,1547.7400441115128,2211.2702900600434,1.73e+05,122414.27632669767,27177.00894952327,100000000.0,6.590580334251542e-05,0.7338086749851456,0.8592343867838673,0.753022678655754,0.3545168817864257,0.28398145827923116,1.0034867699241223,0.0,1683.0,1235.0,
10,494.3186,2.18e+12,1.0,0.0,1547.7400441115128,2211.2702900600434,1.73e+05,122414.27632669767,27177.00894952327,100000000.0,6.590580334251542e-05,0.7338086749851456,0.8592343867838673,0.753022678655754,0.3545168817864257,0.28398145827923116,1.0034867699241223,0.0,1683.0,1235.0,
11,537.4099,2.18e+12,1.0,0.0,1547.7400441115128,2211.2702900600434,1.73e+05,122414.27632669767,27177.00894952327,100000000.0,6.590580334251542e-05,0.7338086749851456,0.8592343867838673,0.753022678655754,0.3545168817864257,0.28398145827923116,1.0034867699241223,0.0,1683.0,1235.0,
12,583.6049,2.18e+12,1.0,0.0,1547.7400441115128,2211.2702900600434,1.73e+05,122414.27632669767,27177.00894952327,100000000.0,6.590580334251542e-05,0.7338086749851456,0.8592343867838673,0.753022678655754,0.3545168817864257,0.28398145827923116,1.0034867699241223,0.0,1683.0,1235.0,
13,632.8478,2.16e+12,1.0,0.0,1477.202321085317,1347.8451888341656,1.77e+05,119602.91962980409,29257.638776423155,100000000.0,4.51633900827668e-05,0.7338086749851456,0.8552680911184236,0.773949335227464,0.3526017158207636,0.31739293587291384,0.9471771257765715,0.0,1683.0,1235.0,
14,676.1342,2.15e+12,1.0,0.0,1533.5609015715563,1375.085029889314,1.75e+05,141451.78161955424,25348.78759282886,100000000.0,3.3989234259287244e-05,0.7338086749851456,0.8520833381602044,0.801561947656706,0.34952530942514903,0.3008020375699956,0.9500542835371577,0.0,1683.0,1235.0,
15,725.1478,2.15e+12,1.0,0.0,1533.5609015715563,1375.085029889314,1.75e+05,141451.78161955424,25348.78759282886,100000000.0,3.3989234259287244e-05,0.7338086749851456,0.8520833381602044,0.801561947656706,0.34952530942514903,0.3008020375699956,0.9500542835371577,0.0,1683.0,1235.0,
16,780.8305,2.15e+12,1.0,0.0,1533.5609015715563,1375.085029889314,1.75e+05,141451.78161955424,25348.78759282886,100000000.0,3.3989234259287244e-05,0.7338086749851456,0.8520833381602044,0.801561947656706,0.34952530942514903,0.3008020375699956,0.9500542835371577,0.0,1683.0,1235.0,
17,828.7441,2.15e+12,1.0,0.0,1533.5609015715563,1375.085029889314,1.75e+05,141451.78161955424,25348.78759282886,100000000.0,3.3989234259287244e-05,0.7338086749851456,0.8520833381602044,0.801561947656706,0.34952530942514903,0.3008020375699956,0.9500542835371577,0.0,1683.0,1235.0,
18,879.2931,2.15e+12,1.0,0.0,1533.5609015715563,1375.085029889314,1.75e+05,141451.78161955424,25348.78759282886,100000000.0,3.3989234259287244e-05,0.7338086749851456,0.8520833381602044,0.801561947656706,0.34952530942514903,0.3008020375699956,0.9500542835371577,0.0,1683.0,1235.0,
19,929.4188,2.15e+12,1.0,0.0,1533.5609015715563,1375.085029889314,1.75e+05,141451.78161955424,25348.78759282886,100000000.0,3.3989234259287244e-05,0.7338086749851456,0.8520833381602044,0.801561947656706,0.34952530942514903,0.3008020375699956,0.9500542835371577,0.0,1683.0,1235.0,
20,983.8232,2.21e+12,1.0,0.0,1505.5893633778728,1373.5008511662502,1.72e+05,146080.45313310498,23269.16650416513,100000000.0,3.0518028816900893e-05,0.7338086749851456,0.7974804177918194,0.7322585052911756,0.35526771259447465,0.32393217954874354,0.9712181684273802,0.0,1683.0,1235.0,
21,1032.8309,2.19e+12,1.0,0.0,1449.589525328006,1873.2199205853847,1.71e+05,161094.88764744916,20966.656938017954,100000000.0,2.0032457948947827e-05,0.7338086749851456,0.788511364377535,0.7887057565056302,0.2887806505747618,0.430462938297408,0.9631689913579289,0.0,1683.0,1235.0,
22,1087.0242,2.20e+12,1.0,0.0,1475.7550861285747,1059.6633092888483,1.73e+05,156206.94742935587,22055.596102646836,100000000.0,1.9870163490613166e-05,0.7338086749851456,0.8092749229031136,0.7589712102755581,0.33271015932225756,0.3637137175772853,0.94710022067769,0.0,1683.0,1235.0,
23,1132.0912,2.20e+12,1.0,0.0,1475.7550861285747,1059.6633092888483,1.73e+05,156206.94742935587,22055.596102646836,100000000.0,1.9870163490613166e-05,0.7338086749851456,0.8092749229031136,0.7589712102755581,0.33271015932225756,0.3637137175772853,0.94710022067769,0.0,1683.0,1235.0,
24,1183.3189,2.22e+12,1.0,0.0,1489.2353345695678,1334.2934906780038,1.71e+05,142371.99169245368,21267.505107053745,100000000.0,1.9648426987359287e-05,0.7338086749851456,0.7851899004560587,0.7207645589475817,0.3372506329577376,0.34767459500626785,0.9623698735134092,0.0,1683.0,1235.0,
25,1240.1870,2.22e+12,1.0,0.0,1489.2353345695678,1334.2934906780038,1.71e+05,142371.99169245368,21267.505107053745,100000000.0,1.9648426987359287e-05,0.7338086749851456,0.7851899004560587,0.7207645589475817,0.3372506329577376,0.34767459500626785,0.9623698735134092,0.0,1683.0,1235.0,
26,1289.2788,2.20e+12,1.0,0.0,1471.785193650678,1257.9710875511514,1.71e+05,150901.04455816693,21603.28041785909,100000000.0,1.707134143731879e-05,0.7338086749851456,0.7839999307219527,0.7330042229046534,0.311023225384009,0.37565209810221073,0.9473368637855477,0.0,1683.0,1235.0,
27,1334.4990,2.19e+12,1.0,0.0,1480.6623392602,1675.087476882663,1.71e+05,152316.96018891496,21671.906881111932,100000000.0,1.529956469360202e-05,0.7338086749851456,0.7933644654703593,0.773033973807932,0.3118994419642553,0.37712226161190043,0.963526181904844,0.0,1683.0,1235.0,
28,1390.1207,2.19e+12,1.0,0.0,1464.9739149035322,1688.6824761860382,1.71e+05,152613.10605432733,21573.213358204383,100000000.0,1.4301986011757727e-05,0.7338086749851456,0.7858649947917239,0.7612500723168039,0.3028000540034188,0.39811394597544236,0.9603568982587334,0.0,1683.0,1235.0,
29,1443.0749,2.20e+12,1.0,0.0,1487.2325594245285,1651.677303747736,1.71e+05,141186.56201890626,22027.148432809612,100000000.0,1.0544046766858174e-05,0.7338086749851456,0.7838440279070069,0.7390974779617931,0.3130789601923639,0.36226548906246836,0.9646225139265948,0.0,1683.0,1235.0,
30,1491.0796,2.19e+12,1.0,0.0,1473.278038419412,1672.6206136379415,1.71e+05,141261.4233685092,21971.973020532612,100000000.0,1.0524262625207776e-05,0.7338086749851456,0.7842234641123713,0.7470847803669296,0.30163935695436844,0.3687487246224193,0.9574922118668554,0.0,1683.0,1235.0,
