# Time [s], Temperature [C]
1.000000000000000000e+00,2.499997099999999861e+01
2.000000000000000000e+00,3.332900200000000268e+01
3.000000000000000000e+00,3.809142299999999892e+01
4.000000000000000000e+00,4.198267700000000247e+01
5.000000000000000000e+00,4.524178700000000219e+01
6.000000000000000000e+00,4.811342199999999991e+01
7.000000000000000000e+00,5.069277999999999906e+01
8.000000000000000000e+00,5.305032299999999879e+01
9.000000000000000000e+00,5.522925599999999946e+01
1.000000000000000000e+01,5.726151699999999778e+01
1.100000000000000000e+01,5.917026899999999756e+01
1.200000000000000000e+01,6.097307599999999894e+01
1.300000000000000000e+01,6.268410099999999829e+01
1.400000000000000000e+01,6.431411699999999598e+01
1.500000000000000000e+01,6.587226900000000285e+01
1.600000000000000000e+01,6.736592100000000016e+01
1.700000000000000000e+01,6.880160499999999502e+01
1.800000000000000000e+01,7.018423500000000104e+01
1.900000000000000000e+01,7.151879900000000134e+01
2.000000000000000000e+01,7.280907399999999541e+01
2.100000000000000000e+01,7.405829599999999857e+01
2.200000000000000000e+01,7.526966899999999328e+01
2.300000000000000000e+01,7.644601400000000524e+01
2.400000000000000000e+01,7.758941699999999742e+01
2.500000000000000000e+01,7.870207999999999515e+01
2.600000000000000000e+01,7.978605699999999956e+01
2.700000000000000000e+01,8.084291799999999739e+01
2.800000000000000000e+01,8.187417600000000562e+01
2.900000000000000000e+01,8.288127900000000636e+01
3.000000000000000000e+01,8.386557000000000528e+01
3.100000000000000000e+01,8.482813299999999401e+01
3.200000000000000000e+01,8.577030200000000093e+01
3.300000000000000000e+01,8.669254300000000057e+01
3.400000000000000000e+01,8.759635199999999600e+01
3.500000000000000000e+01,8.848246000000000322e+01
3.600000000000000000e+01,8.935115100000000155e+01
3.700000000000000000e+01,9.020376600000000167e+01
3.800000000000000000e+01,9.104091599999999573e+01
3.900000000000000000e+01,9.186304499999999962e+01
4.000000000000000000e+01,9.267073100000000352e+01
4.100000000000000000e+01,9.346469899999999598e+01
4.200000000000000000e+01,9.424534599999999784e+01
4.300000000000000000e+01,9.501319100000000617e+01
4.400000000000000000e+01,9.576882200000000012e+01
4.500000000000000000e+01,9.651252700000000573e+01
4.600000000000000000e+01,9.724475900000000195e+01
4.700000000000000000e+01,9.796606400000000292e+01
4.800000000000000000e+01,9.867668199999999956e+01
4.900000000000000000e+01,9.937706000000000017e+01
5.000000000000000000e+01,1.000674499999999938e+02
5.100000000000000000e+01,1.007483100000000036e+02
5.200000000000000000e+01,1.014197800000000029e+02
5.300000000000000000e+01,1.020824400000000054e+02
5.400000000000000000e+01,1.027361300000000028e+02
5.500000000000000000e+01,1.033814899999999994e+02
5.600000000000000000e+01,1.040187999999999988e+02
5.700000000000000000e+01,1.046481200000000058e+02
5.800000000000000000e+01,1.052697000000000003e+02
5.900000000000000000e+01,1.058837800000000016e+02
6.000000000000000000e+01,1.064907199999999960e+02
6.100000000000000000e+01,1.070906099999999981e+02
6.200000000000000000e+01,1.076837500000000034e+02
6.300000000000000000e+01,1.082701699999999931e+02
6.400000000000000000e+01,1.088501700000000056e+02
6.500000000000000000e+01,1.094240199999999987e+02
6.600000000000000000e+01,1.099918499999999995e+02
6.700000000000000000e+01,1.105535699999999935e+02
6.800000000000000000e+01,1.111098499999999945e+02
6.900000000000000000e+01,1.116602699999999970e+02
7.000000000000000000e+01,1.122054799999999943e+02
7.100000000000000000e+01,1.127454100000000068e+02
7.200000000000000000e+01,1.132801400000000029e+02
7.300000000000000000e+01,1.138100100000000054e+02
7.400000000000000000e+01,1.143348500000000030e+02
7.500000000000000000e+01,1.148551499999999947e+02
7.600000000000000000e+01,1.153708699999999965e+02
7.700000000000000000e+01,1.158820199999999971e+02
7.800000000000000000e+01,1.163887600000000049e+02
7.900000000000000000e+01,1.168914299999999997e+02
8.000000000000000000e+01,1.173898599999999988e+02
8.100000000000000000e+01,1.178842199999999991e+02
8.200000000000000000e+01,1.183748099999999965e+02
8.300000000000000000e+01,1.188614800000000002e+02
8.400000000000000000e+01,1.193444700000000012e+02
8.500000000000000000e+01,1.198237699999999961e+02
8.600000000000000000e+01,1.202997399999999999e+02
8.700000000000000000e+01,1.207720300000000009e+02
8.800000000000000000e+01,1.212410200000000060e+02
8.900000000000000000e+01,1.217068500000000029e+02
9.000000000000000000e+01,1.221694600000000008e+02
9.100000000000000000e+01,1.226287800000000061e+02
9.200000000000000000e+01,1.230850700000000018e+02
9.300000000000000000e+01,1.235384600000000006e+02
9.400000000000000000e+01,1.239889900000000011e+02
9.500000000000000000e+01,1.244367100000000050e+02
9.600000000000000000e+01,1.248816000000000059e+02
9.700000000000000000e+01,1.253238099999999946e+02
9.800000000000000000e+01,1.257632200000000040e+02
9.900000000000000000e+01,1.262002200000000016e+02
1.000000000000000000e+02,1.266346699999999998e+02
1.010000000000000000e+02,1.270666899999999941e+02
1.020000000000000000e+02,1.274962500000000034e+02
1.030000000000000000e+02,1.279234699999999947e+02
1.040000000000000000e+02,1.283484500000000139e+02
1.050000000000000000e+02,1.287711500000000058e+02
1.060000000000000000e+02,1.291914700000000096e+02
1.070000000000000000e+02,1.296097900000000038e+02
1.080000000000000000e+02,1.300259900000000073e+02
1.090000000000000000e+02,1.304400599999999883e+02
1.100000000000000000e+02,1.308521700000000010e+02
1.110000000000000000e+02,1.312621900000000039e+02
1.120000000000000000e+02,1.316703799999999944e+02
1.130000000000000000e+02,1.320767099999999914e+02
1.140000000000000000e+02,1.324811200000000042e+02
1.150000000000000000e+02,1.328837000000000046e+02
1.160000000000000000e+02,1.332845499999999959e+02
1.170000000000000000e+02,1.336835900000000095e+02
1.180000000000000000e+02,1.340809199999999919e+02
1.190000000000000000e+02,1.344765899999999874e+02
1.200000000000000000e+02,1.348705699999999865e+02
1.210000000000000000e+02,1.352628799999999956e+02
1.220000000000000000e+02,1.356536099999999863e+02
1.230000000000000000e+02,1.360427699999999902e+02
1.240000000000000000e+02,1.364303700000000106e+02
1.250000000000000000e+02,1.368165300000000002e+02
1.260000000000000000e+02,1.372011400000000094e+02
1.270000000000000000e+02,1.375842900000000100e+02
1.280000000000000000e+02,1.379660599999999988e+02
1.290000000000000000e+02,1.383464800000000139e+02
1.300000000000000000e+02,1.387253900000000044e+02
1.310000000000000000e+02,1.391030100000000118e+02
1.320000000000000000e+02,1.394792500000000075e+02
1.330000000000000000e+02,1.398541400000000010e+02
1.340000000000000000e+02,1.402278000000000020e+02
1.350000000000000000e+02,1.406001300000000072e+02
1.360000000000000000e+02,1.409711900000000071e+02
1.370000000000000000e+02,1.413410499999999956e+02
1.380000000000000000e+02,1.417096600000000137e+02
1.390000000000000000e+02,1.420770400000000109e+02
1.400000000000000000e+02,1.424432999999999936e+02
1.410000000000000000e+02,1.428083499999999901e+02
